"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2001","Hungary","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","132 183",""
"2001","Hungary","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","68 389",""
"2001","Hungary","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","63 794",""
"2001","Malta","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","2 935",""
"2001","Malta","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1 494",""
"2001","Malta","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","1 441",""
"2001","Netherlands","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","140 377",""
"2001","Netherlands","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","68 319",""
"2001","Netherlands","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","72 058",""
"2001","Austria","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","74 767",""
"2001","Austria","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","34 500",""
"2001","Austria","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","40 267",""
"2001","Poland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","363 220",""
"2001","Poland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","192 861",""
"2001","Poland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","170 359",""
"2001","Portugal","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","105 582",""
"2001","Portugal","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","55 189",""
"2001","Portugal","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","50 393",""
"2001","Romania","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","259 603",""
"2001","Romania","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","139 549",""
"2001","Romania","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","120 054",""
"2001","Slovenia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","18 508",""
